,word,meaning
76,desultory,"marked by lack of definite plan, purpose, or enthusiasm"
77,deterrent,something immaterial that interferes with action or progress
78,diatribe,thunderous verbal attack
79,dichotomy,a classification into two opposed parts or subclasses
80,diffidence,lack of self-assurance
81,diffuse,spread out; not concentrated in one place
82,digression,a message that departs from the main subject
83,dirge,a song or hymn of mourning as a memorial to a dead person
84,disabuse,free somebody from an erroneous belief
85,discerning,having or revealing keen insight and good judgment
86,discordant,not in agreement or harmony
87,discredit,the state of being held in low esteem
88,discrepancy,a difference between conflicting facts or claims or opinions
89,discrete,constituting a separate entity or part
90,disingenuous,not straightforward or candid
91,disinterested,unaffected by concern for one's own welfare
92,disjointed,taken apart at the points of connection
93,dismiss,stop associating with
94,disparage,express a negative opinion of
95,disparate,fundamentally different or distinct in quality or kind
96,dissemble,behave unnaturally or affectedly
97,disseminate,cause to become widely known
98,dissolution,separation into component parts
99,dissonance,disagreeable sounds
100,distend,cause to expand as if by internal pressure
101,distill,undergo condensation
102,diverge,move or draw apart
103,divest,take away possessions from someone
104,document,a representation of a person's thinking with symbolic marks
105,dogmatic,pertaining to a code of beliefs accepted as authoritative
106,dormant,inactive but capable of becoming active
107,dupe,fool or hoax
108,ebullient,joyously unrestrained
109,eclectic,selecting what seems best of various styles or ideas
110,efficacy,capacity or power to produce a desired result
111,effrontery,audacious behavior that you have no right to
112,elegy,a mournful poem; a lament for the dead
113,elicit,"call forth, as an emotion, feeling, or response"
114,embellish,"make more attractive, as by adding ornament or color"
115,empirical,derived from experiment and observation rather than theory
116,emulate,"strive to equal or match, especially by imitating"
117,endemic,native to or confined to a certain region
118,enervate,weaken mentally or morally
119,engender,call forth
120,enhance,increase
121,ephemeral,"anything short-lived, as an insect that lives only for a day"
122,equanimity,steadiness of mind under stress
123,equivocate,be deliberately ambiguous or unclear
124,erudite,having or showing profound knowledge
125,esoteric,understandable only by an enlightened inner circle
126,eulogy,a formal expression of praise for someone who has died
127,euphemism,an inoffensive expression substituted for an offensive one
128,exacerbate,make worse
129,exculpate,pronounce not guilty of criminal charges
130,exigency,a pressing or urgent situation
131,extrapolation,an inference about the future based on known facts
132,facetious,cleverly amusing in tone
133,facilitate,make easier
134,fallacious,containing or based on incorrect reasoning
135,fatuous,devoid of intelligence
136,fawning,attempting to win favor by flattery
137,felicitous,exhibiting an agreeably appropriate manner or style
138,fervor,feelings of great warmth and intensity
139,flag,a rectangular piece of cloth of distinctive design
140,fledgling,young bird that has just become capable of flying
141,flout,treat with contemptuous disregard
142,foment,try to stir up
143,forestall,keep from happening or arising; make impossible
144,frugality,prudence in avoiding waste
145,futile,producing no result or effect
146,gainsay,take exception to
147,garrulous,full of trivial conversation
148,goad,stab or urge on as if with a pointed stick
149,gouge,"an impression in a surface, as made by a blow"
150,grandiloquent,lofty in style
151,gregarious,temperamentally seeking and enjoying the company of others
152,guileless,innocent and free of deceit
153,gullible,naive and easily deceived or tricked
154,harangue,a loud bombastic declamation expressed with strong emotion
155,hyperbole,extravagant exaggeration
156,iconoclast,someone who attacks cherished ideas or institutions
157,idolatry,the worship of objects or images as gods
158,immutable,not subject or susceptible to change or variation
159,impair,make worse or less effective
160,impassive,having or revealing little emotion or sensibility
161,impede,be a hindrance or obstacle to
162,impermeable,preventing especially liquids to pass or diffuse through
163,imperturbable,marked by extreme calm and composure
164,impervious,not admitting of passage or capable of being affected
165,implacable,incapable of being appeased or pacified
166,implicit,suggested though not directly expressed
167,implode,burst inward
168,inadvertently,without knowledge or intention
169,inchoate,only partly in existence; imperfectly formed
170,incongruity,the quality of disagreeing
171,inconsequential,lacking worth or importance
172,incorporate,make into a whole or make part of a whole
173,indeterminate,not fixed or known in advance
174,indigence,a state of extreme poverty or destitution
175,indolent,disinclined to work or exertion
176,inert,unable to move or resist motion
177,ingenuous,lacking in sophistication or worldliness
178,inherent,existing as an essential constituent or characteristic
179,innocuous,not injurious to physical or mental health
180,insensible,barely able to be perceived
181,insinuate,suggest in an indirect or covert way; give to understand
182,insipid,lacking interest or significance or impact
183,insularity,the state of being isolated or detached
184,intractable,difficult to manage or mold
185,intransigence,stubborn refusal to compromise or change
186,inundate,"fill or cover completely, usually with water"
187,inured,made tough by habitual exposure
188,invective,abusive language used to express blame or censure
189,irascible,quickly aroused to anger
190,irresolute,uncertain how to act or proceed
191,itinerary,an established line of travel or access
192,laconic,brief and to the point
193,lassitude,a feeling of lack of interest or energy
194,latent,potentially existing but not presently evident or realized
195,laud,"praise, glorify, or honor"
196,lethargic,deficient in alertness or activity
197,levee,an embankment built to prevent a river from overflowing
198,levity,a manner lacking seriousness
199,loquacious,full of trivial conversation
200,lucid,transparently clear; easily understandable
201,luminous,softly bright or radiant
202,magnanimity,nobility and generosity of spirit
203,malingerer,someone shirking duty by feigning illness or incapacity
204,malleable,capable of being shaped or bent
205,maverick,someone who exhibits independence in thought and action
206,mendacious,given to lying
207,metamorphosis,striking change in appearance or character or circumstances
208,meticulous,marked by precise accordance with details
209,misanthrope,someone who dislikes people in general
210,mitigate,lessen or to try to lessen the seriousness or extent of
211,mollify,cause to be more favorably inclined
212,morose,showing a brooding ill humor
213,mundane,found in the ordinary course of events
214,negate,make ineffective by counterbalancing the effect of
215,neophyte,any new participant in some activity
216,obdurate,stubbornly persistent in wrongdoing
217,obsequious,attempting to win favor from influential people by flattery
218,obviate,do away with
219,occlude,block passage through
220,officious,intrusive in a meddling or offensive manner
221,onerous,burdensome or difficult to endure
222,oscillate,move or swing from side to side regularly
223,ostentatious,intended to attract notice and impress others
224,paragon,a perfect embodiment of a concept
225,partisan,a fervent and even militant proponent of something
226,pathological,relating to the study of diseases
227,paucity,an insufficient quantity or number
228,pedantic,marked by a narrow focus on or display of learning
229,penchant,a strong liking
230,penury,a state of extreme poverty or destitution
231,perennial,lasting an indefinitely long time
232,perfidious,tending to betray
233,perfunctory,hasty and without attention to detail; not thorough
234,permeable,allowing fluids or gases to pass or diffuse through
235,pervasive,spreading or spread throughout
236,phlegmatic,showing little emotion
237,piety,righteousness by virtue of being religiously devout
238,placate,cause to be more favorably inclined
239,plasticity,the property of being physically malleable
240,platitude,a trite or obvious remark
241,plethora,extreme excess
242,plummet,drop sharply
243,porous,full of holes
244,pragmatic,concerned with practical matters
245,preamble,"a preliminary introduction, as to a statute or constitution"
246,precarious,not secure; beset with difficulties
247,precipitate,bring about abruptly
248,precursor,something indicating the approach of something or someone
249,presumptuous,"going beyond what is appropriate, permitted, or courteous"
250,prevaricate,be deliberately ambiguous or unclear
251,pristine,immaculately clean and unused
252,probity,complete and confirmed integrity
253,problematic,making great mental demands
254,prodigal,recklessly wasteful
255,profound,situated at or extending to great depth
256,prohibitive,"tending to discourage, especially of prices"
257,proliferate,grow rapidly
258,propensity,a natural inclination
259,propitiate,make peace with
260,propriety,correct behavior
261,proscribe,command against
262,pungent,strong and sharp to the sense of taste or smell
263,qualified,meeting the proper standards and requirements for a task
264,quibble,evade the truth of a point by raising irrelevant objections
265,quiescent,being quiet or still or inactive
266,rarefied,of high moral or intellectual value
267,recalcitrant,stubbornly resistant to authority or control
268,recant,formally reject or disavow a formerly held belief
269,recluse,one who lives in solitude
270,recondite,difficult to understand
271,refractory,stubbornly resistant to authority or control
272,refute,"overthrow by argument, evidence, or proof"
273,relegate,assign to a lower position
274,reproach,express criticism towards
275,reprobate,a person without moral scruples
276,repudiate,"refuse to acknowledge, ratify, or recognize as valid"
277,rescind,cancel officially
278,resolution,a decision to do something or to behave in a certain manner
279,resolve,find a solution or answer
280,reticent,reluctant to draw attention to yourself
281,reverent,feeling or showing profound respect or veneration
282,sage,a mentor in spiritual and philosophical topics
283,salubrious,promoting health
284,sanction,official permission or approval
285,satiate,fill to satisfaction
286,saturate,infuse or fill completely
287,savor,"a particular taste or smell, especially an appealing one"
288,secrete,generate and separate from cells or bodily fluids
289,shard,a broken piece of a brittle artifact
290,skeptic,someone who habitually doubts accepted beliefs
291,soporific,inducing sleep
292,specious,plausible but false
293,spectrum,"a broad range of related objects, values, or qualities"
294,sporadic,recurring in scattered or unpredictable instances
295,stigma,a symbol of disgrace or infamy
296,stint,supply sparingly and with restricted quantities
297,stipulate,make an express demand or provision in an agreement
298,stolid,having or revealing little emotion or sensibility
299,strut,walk with a lofty proud gait
300,subpoena,a writ issued to compel the attendance of a witness
301,subside,wear off or die down
302,substantiate,establish or strengthen as with new evidence or facts
303,supersede,take the place or move into the position of
304,supposition,the cognitive process of conjecturing
305,tacit,implied by or inferred from actions or statements
306,tangential,of superficial relevance if any
307,tenuous,very thin in gauge or diameter
308,tirade,a speech of violent denunciation
309,torpor,a state of motor and mental inactivity
310,tortuous,marked by repeated turns and bends
311,tractable,easily managed
312,transgression,the violation of a law or a duty or moral principle
313,truculence,stubborn and defiant aggressiveness
314,vacillate,be undecided about something
315,venerate,regard with feelings of respect and reverence
316,veracious,habitually speaking the truth
317,verbose,using or containing too many words
318,viable,capable of life or normal growth and development
319,viscous,having a relatively high resistance to flow
320,vituperative,marked by harshly abusive criticism
321,volatile,liable to lead to sudden change or violence
322,wary,marked by keen caution and watchful prudence
323,welter,a confused multitude of things
324,whimsical,determined by chance or impulse rather than by necessity
325,zealot,a fervent and even militant proponent of something
